query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P82802-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P82802-F1-model_v4 Ferredoxin, 2Fe-2s	0.307	104	70	1	102	1	104	9.302E-10	336
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-O66511-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-O66511-F1-model_v4 Ferredoxin, 2Fe-2S	0.320	103	67	2	101	1	103	1.064E-09	321
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P07324-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P07324-F1-model_v4 Ferredoxin, 2Fe-2S	0.313	102	68	1	100	1	102	9.947E-10	312
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-O87688-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-O87688-F1-model_v4 Putative 2Fe-2S ferredoxin	0.272	98	66	2	99	9	99	6.495E-06	181
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q46506-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q46506-F1-model_v4 NADP-reducing hydrogenase subunit HndB	0.200	100	75	3	102	25	119	1.856E-04	148
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P19234-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P19234-F1-model_v4 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	0.173	91	70	4	94	127	212	2.776E-04	146
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q0MQI8-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q0MQI8-F1-model_v4 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	0.193	91	69	4	94	128	213	2.270E-04	142
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q0MQI9-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q0MQI9-F1-model_v4 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	0.193	91	69	4	94	128	213	2.270E-04	142
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q0MQI7-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q0MQI7-F1-model_v4 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	0.193	91	69	4	94	128	213	2.595E-04	141
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P04394-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P04394-F1-model_v4 NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	0.183	91	69	4	94	128	213	4.438E-04	141
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q9ZDH5-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q9ZDH5-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.178	89	69	4	92	86	170	4.150E-04	131
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q68X20-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q68X20-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.187	88	67	4	91	86	168	6.636E-04	130
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q4UM09-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q4UM09-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.214	89	65	4	92	81	164	3.629E-04	129
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q1RJJ1-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q1RJJ1-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.210	88	65	4	91	84	166	8.115E-04	124
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q92ID9-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q92ID9-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.224	91	66	1	91	81	166	7.096E-04	124
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q20719-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q20719-F1-model_v4 Probable NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	0.183	91	69	4	94	117	202	1.298E-03	124
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P9WIV5-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P9WIV5-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.148	92	73	3	94	106	192	9.923E-04	123
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q6BPT6-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q6BPT6-F1-model_v4 Altered inheritance of mitochondria protein 32	0.188	101	81	1	101	171	271	2.537E-03	122
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P56910-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P56910-F1-model_v4 NADH-quinone oxidoreductase subunit E 2	0.227	92	63	1	92	67	149	4.150E-04	119
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P9WIV4-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P9WIV4-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.148	92	73	3	94	106	192	1.484E-03	119
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-C4Y1G7-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-C4Y1G7-F1-model_v4 Altered inheritance of mitochondria protein 32	0.160	97	79	6	102	177	271	3.548E-03	117
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P57255-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P57255-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.164	91	69	1	91	78	160	2.713E-03	111
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0AFD3-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0AFD3-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.204	91	65	1	91	82	164	2.219E-03	110
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0AFD1-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0AFD1-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.204	91	65	1	91	82	164	2.537E-03	109
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-O66842-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-O66842-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.227	82	59	6	87	81	157	4.961E-03	108
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q9I0J8-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q9I0J8-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.184	85	64	4	88	85	164	3.318E-03	108
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0AFD2-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0AFD2-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.204	91	65	1	91	82	164	2.901E-03	108
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q89AU3-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q89AU3-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.172	87	67	1	87	87	168	1.109E-02	106
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0A1Y9-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0A1Y9-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.204	91	65	1	91	82	164	4.338E-03	104
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P65574-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P65574-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.127	92	75	3	94	106	192	1.697E-03	99
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P40915-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P40915-F1-model_v4 NADH-ubiquinone oxidoreductase 24 kDa subunit, mitochondrial	0.140	92	76	1	92	133	221	3.102E-03	99
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q8K9Y4-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q8K9Y4-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.183	90	66	1	90	84	165	5.673E-03	94
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q9X1D7-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q9X1D7-F1-model_v4 Protein TM_1420	0.174	86	60	7	92	2	75	7.932E-03	93
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0A1Y8-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-P0A1Y8-F1-model_v4 NADH-quinone oxidoreductase subunit E	0.212	91	65	1	91	82	164	5.673E-03	93
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q58001-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q58001-F1-model_v4 Thioredoxin	0.154	93	72	1	93	1	86	2.319E-02	82
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q5KUD9-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q5KUD9-F1-model_v4 UPF0741 protein GK3412	0.146	86	61	6	91	3	74	3.966E-02	75
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B7HYE4-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B7HYE4-F1-model_v4 UPF0741 protein BCAH187_A5562	0.147	85	60	6	90	3	73	1.326E-01	70
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A8YZU0-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A8YZU0-F1-model_v4 UPF0741 protein USA300HOU_0586	0.170	85	58	6	90	3	73	6.781E-02	68
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-C3P2E4-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-C3P2E4-F1-model_v4 UPF0741 protein BAA_5659	0.136	85	60	6	90	3	73	1.084E-01	67
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q2G0I5-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q2G0I5-F1-model_v4 UPF0741 protein SAOUHSC_00580	0.170	85	58	6	90	3	73	4.849E-02	67
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B7IRR4-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B7IRR4-F1-model_v4 UPF0741 protein BCG9842_B5444	0.136	85	60	6	90	3	73	1.418E-01	65
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q81JR8-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q81JR8-F1-model_v4 UPF0741 protein BA_5632/GBAA_5632/BAS5234	0.136	85	60	6	90	3	73	1.516E-01	64
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B9IS16-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B9IS16-F1-model_v4 UPF0741 protein BCQ_5224	0.136	85	60	6	90	3	73	1.516E-01	64
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-C3LFR2-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-C3LFR2-F1-model_v4 UPF0741 protein BAMEG_5677	0.136	85	60	6	90	3	73	1.621E-01	63
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q7A1P1-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q7A1P1-F1-model_v4 UPF0741 protein MW0548	0.170	85	58	6	90	3	73	6.341E-02	63
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q5HI83-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q5HI83-F1-model_v4 UPF0741 protein SACOL0639	0.170	85	58	6	90	3	73	6.341E-02	63
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q2YS71-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q2YS71-F1-model_v4 UPF0741 protein SAB0543	0.170	85	58	6	90	3	73	6.341E-02	63
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q503L9-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q503L9-F1-model_v4 Nucleoredoxin	0.147	107	82	6	102	310	416	1.659E-02	63
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q630L7-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q630L7-F1-model_v4 UPF0741 protein BCE33L5081	0.136	85	60	6	90	3	73	1.983E-01	62
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q7A754-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q7A754-F1-model_v4 UPF0741 protein SA0550	0.170	85	58	6	90	3	73	6.781E-02	62
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B7JHK6-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B7JHK6-F1-model_v4 UPF0741 protein BCAH820_5476	0.136	85	60	6	90	3	73	2.120E-01	61
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q5HRF2-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q5HRF2-F1-model_v4 UPF0741 protein SERP0241	0.170	85	58	6	90	3	73	1.014E-01	61
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A9VSH6-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A9VSH6-F1-model_v4 UPF0741 protein BcerKBAB4_5177	0.113	85	62	6	90	3	73	1.734E-01	60
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q4L3R9-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q4L3R9-F1-model_v4 UPF0741 protein SH2399	0.159	85	59	6	90	3	73	1.516E-01	58
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q72X65-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q72X65-F1-model_v4 UPF0741 protein BCE_5513	0.125	85	61	6	90	3	73	1.983E-01	57
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q49VE6-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q49VE6-F1-model_v4 UPF0741 protein SSP2119	0.144	85	60	6	90	3	73	5.545E-02	55
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B9DKS1-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-B9DKS1-F1-model_v4 UPF0741 protein Sca_0247	0.155	87	57	6	92	3	71	7.251E-02	52
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q6GM16-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q6GM16-F1-model_v4 Nucleoredoxin	0.156	107	81	6	102	306	412	7.754E-02	52
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q4A8W2-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q4A8W2-F1-model_v4 ATP synthase subunit delta	0.091	87	61	6	92	109	176	2.267E-01	47
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q601Z8-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-Q601Z8-F1-model_v4 ATP synthase subunit delta	0.091	87	61	6	92	109	176	2.964E-01	45
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A8EV73-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A8EV73-F1-model_v4 ATP synthase subunit delta	0.123	87	62	6	92	104	175	2.424E-01	44
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A0B5U4-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A0B5U4-F1-model_v4 Glycine--tRNA ligase	0.134	106	82	7	102	472	577	3.170E-01	44
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A6QB62-F1-model_v4	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	AF-A6QB62-F1-model_v4 ATP synthase subunit delta	0.091	87	65	6	92	103	174	2.772E-01	43
