INFO:    Environment variable SINGULARITYENV_TMPDIR is set, but APPTAINERENV_TMPDIR is preferred
INFO:    Environment variable SINGULARITYENV_NXF_TASK_WORKDIR is set, but APPTAINERENV_NXF_TASK_WORKDIR is preferred
INFO:    Environment variable SINGULARITYENV_NXF_DEBUG is set, but APPTAINERENV_NXF_DEBUG is preferred
25/01/16 09:16:31 | INFO | root | Reading sequences from loki-ASV2_dfast_all_protein_ORFs.fasta
25/01/16 09:16:32 | INFO | root | Loaded 4544 sequences from loki-ASV2_dfast_all_protein_ORFs.fasta
25/01/16 09:16:32 | INFO | root | Loading model
Downloading: "https://dl.fbaipublicfiles.com/fair-esm/models/esmfold_3B_v1.pt" to /srv/scratch/z3374843/Loki-ASV2_in_silico/folded_proteins/ESMFold-H200/work/18/1346ed8390182cd7a9efd106395889/checkpoints/esmfold_3B_v1.pt
Downloading: "https://dl.fbaipublicfiles.com/fair-esm/models/esm2_t36_3B_UR50D.pt" to /srv/scratch/z3374843/Loki-ASV2_in_silico/folded_proteins/ESMFold-H200/work/18/1346ed8390182cd7a9efd106395889/checkpoints/esm2_t36_3B_UR50D.pt
Downloading: "https://dl.fbaipublicfiles.com/fair-esm/regression/esm2_t36_3B_UR50D-contact-regression.pt" to /srv/scratch/z3374843/Loki-ASV2_in_silico/folded_proteins/ESMFold-H200/work/18/1346ed8390182cd7a9efd106395889/checkpoints/esm2_t36_3B_UR50D-contact-regression.pt
25/01/16 09:18:04 | INFO | root | Starting Predictions
25/01/16 09:18:35 | INFO | root | Predicted structure for 2592|protein with length 29, pLDDT 64.9, pTM 0.205 in 1.1s (amortized, batch size 29). 1 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 3116|protein with length 29, pLDDT 61.3, pTM 0.110 in 1.1s (amortized, batch size 29). 2 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 3332|protein with length 29, pLDDT 80.2, pTM 0.453 in 1.1s (amortized, batch size 29). 3 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 1565|protein with length 30, pLDDT 75.1, pTM 0.352 in 1.1s (amortized, batch size 29). 4 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 3270|protein with length 31, pLDDT 78.0, pTM 0.467 in 1.1s (amortized, batch size 29). 5 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 3669|protein with length 31, pLDDT 49.2, pTM 0.101 in 1.1s (amortized, batch size 29). 6 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 0667|protein with length 32, pLDDT 84.0, pTM 0.504 in 1.1s (amortized, batch size 29). 7 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 0901|protein with length 32, pLDDT 73.6, pTM 0.420 in 1.1s (amortized, batch size 29). 8 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 2557|protein with length 33, pLDDT 65.6, pTM 0.280 in 1.1s (amortized, batch size 29). 9 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 4528|protein with length 33, pLDDT 49.5, pTM 0.121 in 1.1s (amortized, batch size 29). 10 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 4300|protein with length 34, pLDDT 57.3, pTM 0.119 in 1.1s (amortized, batch size 29). 11 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 4329|protein with length 34, pLDDT 62.8, pTM 0.387 in 1.1s (amortized, batch size 29). 12 / 4544 completed.
25/01/16 09:18:35 | INFO | root | Predicted structure for 1176|protein with length 35, pLDDT 53.0, pTM 0.137 in 1.1s (amortized, batch size 29). 13 / 4544 completed.
