query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_0930	7opc-assembly1.cif.gz_b	DESULFOASV1_0930	7opc-assembly1.cif.gz_b Pol II-CSB-CRL4CSA-UVSSA-SPT6-PAF (Structure 4)	0.105	628	430	1008	1635	11	492	4.955E-11	311
DESULFOASV1_0930	8oos-assembly1.cif.gz_G	DESULFOASV1_0930	8oos-assembly1.cif.gz_G CryoEM Structure INO80core Hexasome complex ATPase-hexasome refinement state 2	0.107	621	391	1008	1628	1	439	2.338E-09	303
DESULFOASV1_0930	8b3d-assembly1.cif.gz_b	DESULFOASV1_0930	8b3d-assembly1.cif.gz_b Structure of the Pol II-TCR-ELOF1 complex.	0.109	629	432	1008	1636	11	496	1.519E-10	303
DESULFOASV1_0930	8b3f-assembly1.cif.gz_b	DESULFOASV1_0930	8b3f-assembly1.cif.gz_b Pol II-CSB-CSA-DDB1-ELOF1	0.107	628	428	1008	1635	11	490	1.494E-09	286
DESULFOASV1_0930	8atf-assembly1.cif.gz_G	DESULFOASV1_0930	8atf-assembly1.cif.gz_G Nucleosome-bound Ino80 ATPase	0.105	607	383	1016	1622	12	440	1.469E-08	276
DESULFOASV1_0930	7oop-assembly1.cif.gz_b	DESULFOASV1_0930	7oop-assembly1.cif.gz_b Pol II-CSB-CSA-DDB1-UVSSA-PAF-SPT6 (Structure 3)	0.100	629	434	1008	1636	11	493	3.200E-09	275
DESULFOASV1_0930	6k1p-assembly1.cif.gz_K	DESULFOASV1_0930	6k1p-assembly1.cif.gz_K The complex of ISWI-nucleosome in the ADP.BeF-bound state	0.120	610	390	1016	1625	13	456	8.201E-09	273
DESULFOASV1_0930	7x3w-assembly1.cif.gz_K	DESULFOASV1_0930	7x3w-assembly1.cif.gz_K Cryo-EM structure of ISW1-N1 nucleosome	0.116	645	437	981	1625	3	497	2.797E-09	265
DESULFOASV1_0930	7vdt-assembly1.cif.gz_A	DESULFOASV1_0930	7vdt-assembly1.cif.gz_A The motor-nucleosome module of human chromatin remodeling PBAF-nucleosome complex	0.099	647	462	984	1630	8	521	1.787E-09	256
DESULFOASV1_0930	7enn-assembly1.cif.gz_K	DESULFOASV1_0930	7enn-assembly1.cif.gz_K The structure of ALC1 bound to the nucleosome	0.102	619	403	1007	1625	4	453	8.970E-09	252
