query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_0930	AF-Q6C0X2-F1-model_v4	DESULFOASV1_0930	AF-Q6C0X2-F1-model_v4 ATP-dependent RNA helicase DHH1	0.099	634	332	1003	1636	31	399	8.007E-06	158
DESULFOASV1_0930	AF-A6RY31-F1-model_v4	DESULFOASV1_0930	AF-A6RY31-F1-model_v4 ATP-dependent RNA helicase dhh1	0.098	634	332	1003	1636	50	418	2.244E-05	144
DESULFOASV1_0930	AF-Q6P9R1-F1-model_v4	DESULFOASV1_0930	AF-Q6P9R1-F1-model_v4 ATP-dependent RNA helicase DDX51	0.091	856	526	770	1625	46	625	3.072E-05	123
DESULFOASV1_0930	AF-Q73EU1-F1-model_v4	DESULFOASV1_0930	AF-Q73EU1-F1-model_v4 DEAD-box ATP-dependent RNA helicase CshA	0.123	712	352	1005	1716	7	408	3.158E-04	122
DESULFOASV1_0930	AF-B1YRE4-F1-model_v4	DESULFOASV1_0930	AF-B1YRE4-F1-model_v4 Protein-L-isoaspartate O-methyltransferase	0.171	342	229	240	581	1	277	1.753E-01	65
DESULFOASV1_0930	AF-Q5R874-F1-model_v4	DESULFOASV1_0930	AF-Q5R874-F1-model_v4 ATP-dependent RNA helicase A	0.088	1414	1012	756	2169	80	1190	1.325E-03	64
DESULFOASV1_0930	AF-A3NA64-F1-model_v4	DESULFOASV1_0930	AF-A3NA64-F1-model_v4 Protein-L-isoaspartate O-methyltransferase	0.156	349	243	240	588	1	289	3.002E-01	62
DESULFOASV1_0930	AF-B2JG67-F1-model_v4	DESULFOASV1_0930	AF-B2JG67-F1-model_v4 Protein-L-isoaspartate O-methyltransferase	0.137	342	249	240	581	1	289	1.532E-01	61
DESULFOASV1_0930	AF-Q6DC04-F1-model_v4	DESULFOASV1_0930	AF-Q6DC04-F1-model_v4 Histone-arginine methyltransferase CARM1	0.109	439	323	438	801	129	567	1.101E+00	38
DESULFOASV1_0930	AF-Q5ZIA0-F1-model_v4	DESULFOASV1_0930	AF-Q5ZIA0-F1-model_v4 RNA N6-adenosine-methyltransferase METTL16	0.119	455	320	422	785	49	503	2.698E+00	31
DESULFOASV1_0930	AF-Q6MZQ0-F1-model_v4	DESULFOASV1_0930	AF-Q6MZQ0-F1-model_v4 Proline-rich protein 5-like	0.145	319	266	2	313	46	364	2.822E+00	27
DESULFOASV1_0930	AF-Q53N47-F1-model_v4	DESULFOASV1_0930	AF-Q53N47-F1-model_v4 Chaperone protein ClpC4, chloroplastic	0.093	969	797	737	1705	12	891	4.914E-01	25
