query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6u43-assembly1.cif.gz_A	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6u43-assembly1.cif.gz_A Crystal structure of Methanoperedens nitroreducens elongation factor 2 H595N bound to GMPPCP and magnesium (triclinic crystal form)	0.340	737	473	5	741	4	720	3.386E-79	2764
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6u45-assembly1.cif.gz_A	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6u45-assembly1.cif.gz_A Crystal structure of Methanoperedens nitroreducens elongation factor 2 bound to GMPPCP and magnesium	0.346	734	469	8	741	7	724	1.069E-77	2654
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6u45-assembly2.cif.gz_B	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6u45-assembly2.cif.gz_B Crystal structure of Methanoperedens nitroreducens elongation factor 2 bound to GMPPCP and magnesium	0.331	734	465	8	741	6	701	6.825E-75	2586
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6qw6-assembly1.cif.gz_5C	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6qw6-assembly1.cif.gz_5C Structure of the human U5.U4/U6 tri-snRNP at 2.9A resolution.	0.232	842	568	2	741	7	848	2.425E-62	2074
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	5h7j-assembly2.cif.gz_B	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	5h7j-assembly2.cif.gz_B Crystal structure of Elongation factor 2	0.340	734	454	8	741	2	690	5.662E-74	2001
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	8hl4-assembly1.cif.gz_AEFG	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	8hl4-assembly1.cif.gz_AEFG Cryo-EM Structures and Translocation Mechanism of Crenarchaeota Ribosome	0.368	729	453	8	736	2	719	8.040E-72	1993
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	5h7l-assembly2.cif.gz_B	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	5h7l-assembly2.cif.gz_B Complex of Elongation factor 2-50S ribosomal protein L12	0.347	732	447	10	741	4	689	6.206E-73	1973
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6q2d-assembly1.cif.gz_C	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6q2d-assembly1.cif.gz_C Crystal structure of Methanobrevibacter smithii Dph2 in complex with Methanobrevibacter smithii elongation factor 2	0.325	736	470	6	741	1	698	1.005E-71	1973
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	3jb9-assembly1.cif.gz_B	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	3jb9-assembly1.cif.gz_B Cryo-EM structure of the yeast spliceosome at 3.6 angstrom resolution	0.213	856	589	1	749	49	904	1.579E-60	1963
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6ahd-assembly1.cif.gz_C	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	6ahd-assembly1.cif.gz_C The Cryo-EM Structure of Human Pre-catalytic Spliceosome (B complex) at 3.8 angstrom resolution	0.226	813	560	8	731	6	818	1.219E-61	1946
LOKIASV2_4287_ESMFold_elongation_factor_EF-2	5h7j-assembly1.cif.gz_A	LOKIASV2_4287_ESMFold_elongation_factor_EF-2	5h7j-assembly1.cif.gz_A Crystal structure of Elongation factor 2	0.347	724	439	18	741	9	682	2.589E-71	1936
