24/09/06 10:07:00 | INFO | root | Reading sequences from loki-ASV2_dfast_all_protein_ORFs.faa
24/09/06 10:07:00 | INFO | root | Loaded 4544 sequences from loki-ASV2_dfast_all_protein_ORFs.faa
24/09/06 10:07:00 | INFO | root | Loading model
24/09/06 10:07:50 | INFO | root | Starting Predictions
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_25920 hypothetical protein with length 29, pLDDT 64.7, pTM 0.202 in 0.1s (amortized, batch size 29). 1 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_31160 hypothetical protein with length 29, pLDDT 61.6, pTM 0.110 in 0.1s (amortized, batch size 29). 2 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_33320 hypothetical protein with length 29, pLDDT 80.2, pTM 0.453 in 0.1s (amortized, batch size 29). 3 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_15650 hypothetical protein with length 30, pLDDT 74.9, pTM 0.352 in 0.1s (amortized, batch size 29). 4 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_32700 hypothetical protein with length 31, pLDDT 78.0, pTM 0.467 in 0.1s (amortized, batch size 29). 5 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_36690 hypothetical protein with length 31, pLDDT 49.0, pTM 0.103 in 0.1s (amortized, batch size 29). 6 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_06670 hypothetical protein with length 32, pLDDT 84.0, pTM 0.504 in 0.1s (amortized, batch size 29). 7 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_09010 hypothetical protein with length 32, pLDDT 71.7, pTM 0.402 in 0.1s (amortized, batch size 29). 8 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_25570 hypothetical protein with length 33, pLDDT 65.1, pTM 0.275 in 0.1s (amortized, batch size 29). 9 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_45280 hypothetical protein with length 33, pLDDT 49.8, pTM 0.121 in 0.1s (amortized, batch size 29). 10 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_43000 hypothetical protein with length 34, pLDDT 57.3, pTM 0.119 in 0.1s (amortized, batch size 29). 11 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_43290 hypothetical protein with length 34, pLDDT 67.5, pTM 0.426 in 0.1s (amortized, batch size 29). 12 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_11760 hypothetical protein with length 35, pLDDT 52.4, pTM 0.134 in 0.1s (amortized, batch size 29). 13 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_29190 hypothetical protein with length 36, pLDDT 49.8, pTM 0.135 in 0.1s (amortized, batch size 29). 14 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_29470 hypothetical protein with length 36, pLDDT 58.1, pTM 0.290 in 0.1s (amortized, batch size 29). 15 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_14070 hypothetical protein with length 37, pLDDT 55.1, pTM 0.171 in 0.1s (amortized, batch size 29). 16 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_20320 hypothetical protein with length 37, pLDDT 52.7, pTM 0.297 in 0.1s (amortized, batch size 29). 17 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_34730 hypothetical protein with length 37, pLDDT 64.2, pTM 0.405 in 0.1s (amortized, batch size 29). 18 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_39400 hypothetical protein with length 37, pLDDT 47.8, pTM 0.254 in 0.1s (amortized, batch size 29). 19 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_42650 hypothetical protein with length 37, pLDDT 52.7, pTM 0.320 in 0.1s (amortized, batch size 29). 20 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_10480 hypothetical protein with length 38, pLDDT 76.4, pTM 0.464 in 0.1s (amortized, batch size 29). 21 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_33040 hypothetical protein with length 38, pLDDT 83.3, pTM 0.582 in 0.1s (amortized, batch size 29). 22 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_03380 hypothetical protein with length 39, pLDDT 75.5, pTM 0.521 in 0.1s (amortized, batch size 29). 23 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_07380 hypothetical protein with length 39, pLDDT 56.8, pTM 0.308 in 0.1s (amortized, batch size 29). 24 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_13790 hypothetical protein with length 39, pLDDT 60.2, pTM 0.393 in 0.1s (amortized, batch size 29). 25 / 4544 completed.
24/09/06 10:07:54 | INFO | root | Predicted structure for LOKIASV2_14050 hypothetical protein with length 39, pLDDT 79.0, pTM 0.460 in 0.1s (amortized, batch size 29). 26 / 4544 completed.
