query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_25330-d-CMP_kinase	AF-Q311Z5-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q311Z5-F1-model_v4 Cytidylate kinase	0.589	217	89	1	217	1	217	4.273E-32	1264
DESULFOASV1_25330-d-CMP_kinase	AF-C6BVN3-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-C6BVN3-F1-model_v4 Cytidylate kinase	0.566	217	94	1	217	1	217	2.890E-30	1212
DESULFOASV1_25330-d-CMP_kinase	AF-Q72DA1-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q72DA1-F1-model_v4 Cytidylate kinase	0.612	214	83	4	217	12	225	5.502E-30	1176
DESULFOASV1_25330-d-CMP_kinase	AF-A1VEW5-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A1VEW5-F1-model_v4 Cytidylate kinase	0.617	212	81	6	217	14	225	2.114E-29	1153
DESULFOASV1_25330-d-CMP_kinase	AF-Q1MPW3-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q1MPW3-F1-model_v4 Cytidylate kinase	0.457	225	121	1	223	1	225	2.722E-27	1025
DESULFOASV1_25330-d-CMP_kinase	AF-A6LNG5-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A6LNG5-F1-model_v4 Cytidylate kinase	0.451	214	114	3	216	1	209	2.370E-23	854
DESULFOASV1_25330-d-CMP_kinase	AF-A5EWQ0-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A5EWQ0-F1-model_v4 Cytidylate kinase	0.446	215	118	3	216	1	215	1.151E-22	827
DESULFOASV1_25330-d-CMP_kinase	AF-B7IE32-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B7IE32-F1-model_v4 Cytidylate kinase	0.409	214	123	3	216	1	209	3.934E-22	818
DESULFOASV1_25330-d-CMP_kinase	AF-B6I8Y2-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B6I8Y2-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	1.733E-22	806
DESULFOASV1_25330-d-CMP_kinase	AF-A1A9I7-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A1A9I7-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	2.066E-22	803
DESULFOASV1_25330-d-CMP_kinase	AF-Q1RDU8-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q1RDU8-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	2.463E-22	802
DESULFOASV1_25330-d-CMP_kinase	AF-P0A6I2-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-P0A6I2-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	2.323E-22	801
DESULFOASV1_25330-d-CMP_kinase	AF-B1IW21-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B1IW21-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	2.463E-22	801
DESULFOASV1_25330-d-CMP_kinase	AF-Q31YU0-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q31YU0-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	3.112E-22	800
DESULFOASV1_25330-d-CMP_kinase	AF-Q32E30-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q32E30-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	2.769E-22	799
DESULFOASV1_25330-d-CMP_kinase	AF-B5QZB4-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B5QZB4-F1-model_v4 Cytidylate kinase	0.439	214	119	4	216	5	218	2.769E-22	798
DESULFOASV1_25330-d-CMP_kinase	AF-B5R8J7-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B5R8J7-F1-model_v4 Cytidylate kinase	0.439	214	119	4	216	5	218	2.936E-22	798
DESULFOASV1_25330-d-CMP_kinase	AF-Q0TJE3-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q0TJE3-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	2.936E-22	798
DESULFOASV1_25330-d-CMP_kinase	AF-B4TD40-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B4TD40-F1-model_v4 Cytidylate kinase	0.439	214	119	4	216	5	218	2.936E-22	797
DESULFOASV1_25330-d-CMP_kinase	AF-B7LN72-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B7LN72-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	3.934E-22	795
DESULFOASV1_25330-d-CMP_kinase	AF-A7ZYL3-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A7ZYL3-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	3.499E-22	795
DESULFOASV1_25330-d-CMP_kinase	AF-B1LJV3-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B1LJV3-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	3.934E-22	794
DESULFOASV1_25330-d-CMP_kinase	AF-B7NAQ9-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B7NAQ9-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	3.934E-22	794
DESULFOASV1_25330-d-CMP_kinase	AF-A4W8S9-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A4W8S9-F1-model_v4 Cytidylate kinase	0.429	214	121	4	216	5	218	3.934E-22	794
DESULFOASV1_25330-d-CMP_kinase	AF-P0A6I0-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-P0A6I0-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	3.710E-22	794
DESULFOASV1_25330-d-CMP_kinase	AF-A8AIH4-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A8AIH4-F1-model_v4 Cytidylate kinase	0.434	214	120	4	216	5	218	3.934E-22	793
DESULFOASV1_25330-d-CMP_kinase	AF-B7MHL9-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B7MHL9-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	4.171E-22	793
DESULFOASV1_25330-d-CMP_kinase	AF-A8GCH2-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A8GCH2-F1-model_v4 Cytidylate kinase	0.423	217	124	1	216	2	218	2.936E-22	793
DESULFOASV1_25330-d-CMP_kinase	AF-C4ZQ36-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-C4ZQ36-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	4.422E-22	792
DESULFOASV1_25330-d-CMP_kinase	AF-Q57R21-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q57R21-F1-model_v4 Cytidylate kinase	0.443	214	118	4	216	5	218	4.171E-22	792
DESULFOASV1_25330-d-CMP_kinase	AF-Q65SH6-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q65SH6-F1-model_v4 Cytidylate kinase	0.433	217	122	1	216	1	217	4.422E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-A6T702-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-A6T702-F1-model_v4 Cytidylate kinase	0.423	217	124	1	216	2	218	4.171E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-Q3Z3L1-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q3Z3L1-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	4.971E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-Q0SX05-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q0SX05-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	4.422E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-B5XY86-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B5XY86-F1-model_v4 Cytidylate kinase	0.423	217	124	1	216	2	218	4.171E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-B7NM64-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B7NM64-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	4.689E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-C0PXU6-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-C0PXU6-F1-model_v4 Cytidylate kinase	0.439	214	119	4	216	5	218	4.971E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-Q2NUA8-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-Q2NUA8-F1-model_v4 Cytidylate kinase	0.419	215	124	4	217	5	219	2.611E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-B5FQ53-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B5FQ53-F1-model_v4 Cytidylate kinase	0.439	214	119	4	216	5	218	4.689E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-B7MS25-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B7MS25-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	4.422E-22	791
DESULFOASV1_25330-d-CMP_kinase	AF-B7M839-F1-model_v4	DESULFOASV1_25330-d-CMP_kinase	AF-B7M839-F1-model_v4 Cytidylate kinase	0.428	217	123	1	216	2	218	4.971E-22	790
