LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	1zg2-assembly1.cif.gz_A	1zg2-assembly1.cif.gz_A Solution NMR structure of the UPF0213 protein BH0048 from Bacillus halodurans. Northeast Structural Genomics target BhR2.	5.548E-05	1.000	141	3	84	99	2	79	94	83	0.828	0.830
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	6sei-assembly1.cif.gz_C	6sei-assembly1.cif.gz_C Recognition and processing of branched DNA substrates by Slx1-Slx4 nuclease	1.583E-02	1.000	110	2	71	99	7	79	270	76	0.707	0.270
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	7wme-assembly1.cif.gz_A	7wme-assembly1.cif.gz_A Crystal Structure of the catalytic domain of At-HIGLE	3.112E-02	1.000	108	4	73	99	2	74	153	74	0.707	0.477
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	1ywl-assembly1.cif.gz_A	1ywl-assembly1.cif.gz_A Solution NMR structure of the protein EF2693 from E. faecalis: Northeast Structural Genomics Consortium target EFR36	5.569E-03	1.000	102	1	87	99	4	88	96	90	0.879	0.885
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	7cq2-assembly2.cif.gz_B	7cq2-assembly2.cif.gz_B Crystal structure of Slx1-Slx4	7.822E-02	0.993	86	2	71	99	9	82	297	77	0.707	0.249
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5hx4-assembly2.cif.gz_B	5hx4-assembly2.cif.gz_B Zinc-Free APOBEC3F Catalytic Domain Crystal Structure	1.242E+00	0.353	46	3	57	99	21	70	168	55	0.556	0.298
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	8ckb-assembly1.cif.gz_I001	8ckb-assembly1.cif.gz_I001 Asymmetric reconstruction of the crAss001 virion	7.146E-01	0.277	43	4	60	99	11	65	82	60	0.576	0.671
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	7v99-assembly1.cif.gz_A	7v99-assembly1.cif.gz_A catalytic core of human telomerase holoenzyme	8.593E-01	0.196	39	3	66	99	599	666	991	70	0.646	0.069
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	3jbp-assembly1.cif.gz_AU	3jbp-assembly1.cif.gz_AU Cryo-electron microscopy reconstruction of the Plasmodium falciparum 80S ribosome bound to E-tRNA	2.160E+00	0.179	38	1	61	99	7	72	180	67	0.616	0.367
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5hx4-assembly1.cif.gz_A	5hx4-assembly1.cif.gz_A Zinc-Free APOBEC3F Catalytic Domain Crystal Structure	2.937E+00	0.164	37	3	57	99	27	79	177	58	0.556	0.299
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5k1a-assembly2.cif.gz_C	5k1a-assembly2.cif.gz_C Crystal structure of the UAF1-USP12 complex in C2 space group	2.160E+00	0.164	37	4	29	99	88	113	236	26	0.263	0.110
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	7qxa-assembly1.cif.gz_A	7qxa-assembly1.cif.gz_A Cryo-EM map of human telomerase-DNA-TPP1 complex (sharpened)	8.593E-01	0.164	37	3	66	99	561	629	954	72	0.646	0.072
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	6th6-assembly1.cif.gz_BT	6th6-assembly1.cif.gz_BT Cryo-EM Structure of T. kodakarensis 70S ribosome	9.137E-01	0.150	36	2	66	99	3	71	74	76	0.657	0.932
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5g1f-assembly1.cif.gz_A	5g1f-assembly1.cif.gz_A Crystal structure of the 6-carboxyhexanoate-CoA ligase (BioW)from Bacillus subtilis in complex with coenzyme A	1.589E+00	0.150	36	3	60	99	2	60	245	64	0.586	0.241
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5k1a-assembly3.cif.gz_E	5k1a-assembly3.cif.gz_E Crystal structure of the UAF1-USP12 complex in C2 space group	2.937E+00	0.138	35	4	29	99	72	97	222	26	0.263	0.117
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5fll-assembly1.cif.gz_A	5fll-assembly1.cif.gz_A Crystal structure of the 6-carboxyhexanoate-CoA ligase (BioW) from Bacillus subtilis in complex with a Pimeloyl-adenylate	1.033E+00	0.138	35	1	60	99	1	65	251	67	0.606	0.259
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5fm0-assembly1.cif.gz_A	5fm0-assembly1.cif.gz_A Crystal structure of the 6-carboxyhexanoate-CoA ligase (BioW)from Bacillus subtilis (PtCl4 derivative)	2.442E+00	0.126	34	4	60	99	2	63	247	63	0.576	0.251
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	8g1i-assembly1.cif.gz_A	8g1i-assembly1.cif.gz_A SpCas9 with sgRNA and target DNA	1.168E+00	0.126	34	3	58	99	1086	1143	1298	58	0.566	0.045
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	2qqd-assembly2.cif.gz_G	2qqd-assembly2.cif.gz_G N47A mutant of Pyruvoyl-dependent Arginine Decarboxylase from Methanococcus jannashii	1.168E+00	0.116	33	2	57	99	74	130	152	59	0.566	0.375
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	6nil-assembly1.cif.gz_A	6nil-assembly1.cif.gz_A cryoEM structure of the truncated HIV-1 Vif/CBFbeta/A3F complex	4.515E+00	0.116	33	3	57	99	27	79	177	57	0.556	0.299
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5k1a-assembly1.cif.gz_A	5k1a-assembly1.cif.gz_A Crystal structure of the UAF1-USP12 complex in C2 space group	3.531E+00	0.116	33	4	28	99	86	110	239	25	0.253	0.105
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	7ay2-assembly1.cif.gz_B	7ay2-assembly1.cif.gz_B Crystal structure of truncated USP1-UAF1 reacted with ubiquitin-prg	3.531E+00	0.116	33	4	29	99	143	168	337	26	0.263	0.077
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5hx5-assembly2.cif.gz_B	5hx5-assembly2.cif.gz_B APOBEC3F Catalytic Domain Crystal Structure	4.802E+00	0.106	32	4	52	99	19	66	168	52	0.495	0.286
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	6cpm-assembly2.cif.gz_D	6cpm-assembly2.cif.gz_D Structure of the USP15 deubiquitinase domain in complex with a third-generation inhibitory Ubv	5.429E+00	0.106	32	4	29	99	156	181	332	26	0.263	0.078
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5k1b-assembly1.cif.gz_A	5k1b-assembly1.cif.gz_A Crystal structure of the UAF1/USP12 complex in F222 space group	5.106E+00	0.098	31	4	28	99	104	128	264	25	0.253	0.095
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	3zoq-assembly1.cif.gz_C	3zoq-assembly1.cif.gz_C Structure of BsUDG-p56 complex	3.531E+00	0.090	30	1	57	99	3	49	53	57	0.576	0.887
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	8ckb-assembly1.cif.gz_I004	8ckb-assembly1.cif.gz_I004 Asymmetric reconstruction of the crAss001 virion	2.597E+00	0.090	30	5	63	99	3	59	73	62	0.596	0.781
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	2jxt-assembly1.cif.gz_A	2jxt-assembly1.cif.gz_A Solution structure of 50S ribosomal protein LX from Methanobacterium thermoautotrophicum. Northeast Structural Genomics Consortium (NESG) target TR80	2.937E+00	0.090	30	1	74	99	3	82	86	83	0.747	0.930
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	5k1a-assembly4.cif.gz_G	5k1a-assembly4.cif.gz_G Crystal structure of the UAF1-USP12 complex in C2 space group	5.429E+00	0.090	30	4	29	99	75	100	224	26	0.263	0.116
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	6gha-assembly1.cif.gz_A	6gha-assembly1.cif.gz_A USP15 catalytic domain structure	5.106E+00	0.090	30	4	26	99	145	167	325	23	0.232	0.071
LOKIASV2_1982_ESMFold_GIY-YIG_nuclease_family_protein	2y6e-assembly1.cif.gz_A	2y6e-assembly1.cif.gz_A Structure of the D1D2 domain of USP4, the conserved catalytic domain	6.529E+00	0.090	30	4	29	99	156	181	337	26	0.263	0.077
