DESULFOASV1_0001_chromosomal_replication_initiator_protein_DnaA	AF-B8DN19-F1-model_v4	DESULFOASV1_0001_chromosomal_replication_initiator_protein_DnaA	AF-B8DN19-F1-model_v4 Chromosomal replication initiator protein DnaA	0.518	487	220	1	457	1	487	4.113E-47	1853
DESULFOASV1_0002_UPF028_family_protein	2o34-assembly2.cif.gz_B	DESULFOASV1_0002_UPF028_family_protein	2o34-assembly2.cif.gz_B Crystal structure of protein DVU1097 from Desulfovibrio vulgaris Hildenborough, Pfam DUF375	0.480	225	116	23	247	5	229	3.421E-26	919
DESULFOASV1_0003_hypothetical_protein	5jir-assembly3.cif.gz_A	DESULFOASV1_0003_hypothetical_protein	5jir-assembly3.cif.gz_A Crystal structure of Treponema pallidum protein Tp0624	0.226	262	189	53	314	9	253	1.138E-11	297
DESULFOASV1_0004_hypothetical_protein	AF-Q7DDE8-F1-model_v4	DESULFOASV1_0004_hypothetical_protein	AF-Q7DDE8-F1-model_v4 Putative lipoprotein NMB1124/NMB1162	0.197	214	152	11	224	4	193	7.981E-07	267
DESULFOASV1_0005_hypothetical_protein	5a0l-assembly2.cif.gz_B	DESULFOASV1_0005_hypothetical_protein	5a0l-assembly2.cif.gz_B N-terminal thioester domain of fibronectin-binding protein SfbI from Streptococcus pyogenes	0.147	199	146	35	206	7	205	8.706E-04	82
DESULFOASV1_0006_hypothetical_protein	3b3j-assembly1.cif.gz_A	DESULFOASV1_0006_hypothetical_protein	3b3j-assembly1.cif.gz_A The 2.55 A crystal structure of the apo catalytic domain of coactivator-associated arginine methyl transferase I(CARM1:28-507, residues 28-146 and 479-507 not ordered)	0.117	109	87	41	149	33	131	3.979E-01	31
DESULFOASV1_0007_glycosyltransferase_family_4_protein	AF-Q2SZV9-F1-model_v4	DESULFOASV1_0007_glycosyltransferase_family_4_protein	AF-Q2SZV9-F1-model_v4 Probable transglycosylase BTH_I0986	0.221	370	277	1	370	1	356	6.126E-22	762
DESULFOASV1_0008_glycosyltransferase	4xsu-assembly1.cif.gz_B	DESULFOASV1_0008_glycosyltransferase	4xsu-assembly1.cif.gz_B Crystal structure of Anabaena Alr3699/HepE in complex with UDP and glucose	0.193	366	294	1	365	2	367	1.099E-23	828
DESULFOASV1_0009_molybdenum_cofactor_biosynthesis_protein_MoaE	AF-D4GSW7-F1-model_v4	DESULFOASV1_0009_molybdenum_cofactor_biosynthesis_protein_MoaE	AF-D4GSW7-F1-model_v4 Probable molybdopterin synthase	0.248	124	89	1	120	129	252	1.522E-11	407
DESULFOASV1_0011_ATP-binding_protein	AF-Q06067-F1-model_v4	DESULFOASV1_0011_ATP-binding_protein	AF-Q06067-F1-model_v4 Signal transduction histidine-protein kinase AtoS	0.255	384	268	132	515	239	599	3.118E-30	817
DESULFOASV1_0012_TusE-DsrC-DsvC_family_sulfur_relay_protein	AF-P45573-F1-model_v4	DESULFOASV1_0012_TusE-DsrC-DsvC_family_sulfur_relay_protein	AF-P45573-F1-model_v4 Sulfite reductase, dissimilatory-type subunit gamma	0.761	105	25	1	105	1	105	3.982E-15	582
DESULFOASV1_0013_YcaO-like_family_protein	6pe3-assembly1.cif.gz_A	DESULFOASV1_0013_YcaO-like_family_protein	6pe3-assembly1.cif.gz_A Structure of YcaO enzyme from Methanocaldococcus jannaschii in complex with ATP	0.244	412	279	8	419	2	371	3.464E-17	699
DESULFOASV1_0014_methyltransferase	AF-Q96AZ1-F1-model_v4	DESULFOASV1_0014_methyltransferase	AF-Q96AZ1-F1-model_v4 EEF1A lysine methyltransferase 3	0.231	219	150	22	240	28	223	2.532E-14	427
DESULFOASV1_0015_hypothetical_protein	AF-P35841-F1-model_v4	DESULFOASV1_0015_hypothetical_protein	AF-P35841-F1-model_v4 Chemoreceptor protein A	0.289	614	424	176	789	69	665	5.447E-30	873
DESULFOASV1_0016_DUF364_domain-containing_protein	3l5o-assembly3.cif.gz_A	DESULFOASV1_0016_DUF364_domain-containing_protein	3l5o-assembly3.cif.gz_A Crystal structure of protein with unknown function from DUF364 family (ZP_00559375.1) from Desulfitobacterium hafniense DCB-2 at 2.01 A resolution	0.258	246	180	7	250	2	247	5.553E-20	632
DESULFOASV1_0017_RNA_polymerase-binding_protein_DksA	AF-B8H0C0-F1-model_v4	DESULFOASV1_0017_RNA_polymerase-binding_protein_DksA	AF-B8H0C0-F1-model_v4 RNA polymerase-binding transcription factor DksA	0.462	121	64	1	120	22	142	1.649E-10	417
DESULFOASV1_0018_N-A	AF-O34693-F1-model_v4	DESULFOASV1_0018_N-A	AF-O34693-F1-model_v4 Rqc2 homolog RqcH	0.188	566	409	2	506	4	569	1.092E-31	912
DESULFOASV1_0019_PhoH_family_protein	AF-P0A9K6-F1-model_v4	DESULFOASV1_0019_PhoH_family_protein	AF-P0A9K6-F1-model_v4 PhoH-like protein	0.471	327	169	4	324	2	328	2.579E-39	1169
DESULFOASV1_0020_HDIG_domain-containing_protein	AF-P46344-F1-model_v4	DESULFOASV1_0020_HDIG_domain-containing_protein	AF-P46344-F1-model_v4 Cyclic-di-AMP phosphodiesterase PgpH	0.259	712	508	35	746	24	709	9.252E-32	1145
DESULFOASV1_0021_rRNA_maturation_RNase_YbeY	AF-Q311E8-F1-model_v4	DESULFOASV1_0021_rRNA_maturation_RNase_YbeY	AF-Q311E8-F1-model_v4 Endoribonuclease YbeY	0.353	164	89	8	146	1	164	7.643E-13	414
DESULFOASV1_0022_ornithine_carbamoyltransferase	AF-Q72D35-F1-model_v4	DESULFOASV1_0022_ornithine_carbamoyltransferase	AF-Q72D35-F1-model_v4 Ornithine carbamoyltransferase	0.663	300	101	1	300	1	300	6.482E-51	1972
DESULFOASV1_0023_argininosuccinate_synthase	AF-Q30YB8-F1-model_v4	DESULFOASV1_0023_argininosuccinate_synthase	AF-Q30YB8-F1-model_v4 Argininosuccinate synthase	0.729	395	107	2	395	3	397	6.331E-62	2392
DESULFOASV1_0024_argininosuccinate_lyase	AF-B8DN65-F1-model_v4	DESULFOASV1_0024_argininosuccinate_lyase	AF-B8DN65-F1-model_v4 Argininosuccinate lyase	0.631	459	169	1	459	1	459	3.287E-52	2708
DESULFOASV1_0025_hypothetical_protein	AF-B4SQI3-F1-model_v4	DESULFOASV1_0025_hypothetical_protein	AF-B4SQI3-F1-model_v4 Bacteriohemerythrin	0.282	124	87	15	138	4	125	2.590E-05	263
DESULFOASV1_0026_class_I_SAM-dependent_methyltransferase	AF-O34614-F1-model_v4	DESULFOASV1_0026_class_I_SAM-dependent_methyltransferase	AF-O34614-F1-model_v4 Putative rRNA methylase YtqB	0.357	193	123	4	196	2	193	6.010E-24	878
DESULFOASV1_0027_CGGC_domain-containing_protein	AF-Q58002-F1-model_v4	DESULFOASV1_0027_CGGC_domain-containing_protein	AF-Q58002-F1-model_v4 Uncharacterized protein MJ0582	0.330	114	75	3	115	2	115	7.303E-07	197
