query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_36570-Fe-S-binding_protein	AF-P33393-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P33393-F1-model_v4 Protein DVU_0531	0.310	453	302	20	472	19	457	8.888E-30	1293
DESULFOASV1_36570-Fe-S-binding_protein	AF-P84622-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P84622-F1-model_v4 Hdr-like menaquinol oxidoreductase iron-sulfur subunit	0.205	478	335	48	469	65	542	1.016E-20	793
DESULFOASV1_36570-Fe-S-binding_protein	AF-O29748-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-O29748-F1-model_v4 Hdr-like menaquinol oxidoreductase iron-sulfur subunit 2	0.204	474	334	51	470	66	539	1.837E-20	781
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q8TSV7-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q8TSV7-F1-model_v4 Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D	0.211	403	310	62	464	10	403	2.053E-19	772
DESULFOASV1_36570-Fe-S-binding_protein	AF-A0A0E3NEE1-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-A0A0E3NEE1-F1-model_v4 Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D	0.215	406	309	59	464	10	403	4.255E-19	757
DESULFOASV1_36570-Fe-S-binding_protein	AF-P96797-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P96797-F1-model_v4 Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D	0.215	393	301	72	464	19	403	6.125E-19	753
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q8PVW3-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q8PVW3-F1-model_v4 Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D	0.220	403	307	62	464	10	403	1.107E-18	742
DESULFOASV1_36570-Fe-S-binding_protein	AF-P45866-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P45866-F1-model_v4 Probable iron-sulfur-binding oxidoreductase FadF	0.203	428	317	73	471	273	700	4.208E-15	557
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q0AZ32-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q0AZ32-F1-model_v4 EtfAB:quinone oxidoreductase	0.179	417	323	73	466	298	714	9.497E-13	466
DESULFOASV1_36570-Fe-S-binding_protein	AF-P94534-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P94534-F1-model_v4 Probable glycolate oxidase iron-sulfur subunit	0.144	436	354	50	464	3	438	5.610E-12	412
DESULFOASV1_36570-Fe-S-binding_protein	AF-P0A997-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P0A997-F1-model_v4 Anaerobic glycerol-3-phosphate dehydrogenase subunit C	0.145	394	334	73	466	5	396	8.238E-11	366
DESULFOASV1_36570-Fe-S-binding_protein	AF-P0A996-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P0A996-F1-model_v4 Anaerobic glycerol-3-phosphate dehydrogenase subunit C	0.145	394	334	73	466	5	396	1.631E-10	357
DESULFOASV1_36570-Fe-S-binding_protein	AF-P52074-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P52074-F1-model_v4 Glycolate oxidase iron-sulfur subunit	0.131	405	343	60	464	8	403	6.234E-09	319
DESULFOASV1_36570-Fe-S-binding_protein	AF-P43801-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P43801-F1-model_v4 Anaerobic glycerol-3-phosphate dehydrogenase subunit C	0.129	396	341	73	464	28	423	2.746E-09	318
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q9KBU2-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q9KBU2-F1-model_v4 Lactate utilization protein A	0.155	251	203	222	472	3	243	1.813E-07	294
DESULFOASV1_36570-Fe-S-binding_protein	AF-C3LCL5-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-C3LCL5-F1-model_v4 Lactate utilization protein A 1	0.135	246	207	222	467	3	242	6.199E-07	278
DESULFOASV1_36570-Fe-S-binding_protein	AF-B7JF51-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-B7JF51-F1-model_v4 Lactate utilization protein A 2	0.135	246	207	222	467	3	242	7.784E-07	275
DESULFOASV1_36570-Fe-S-binding_protein	AF-C3P1X2-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-C3P1X2-F1-model_v4 Lactate utilization protein A 2	0.135	246	207	222	467	3	242	1.285E-06	268
DESULFOASV1_36570-Fe-S-binding_protein	AF-B9IRL0-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-B9IRL0-F1-model_v4 Lactate utilization protein A 2	0.131	246	208	222	467	3	242	1.285E-06	268
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q638X2-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q638X2-F1-model_v4 Lactate utilization protein A 2	0.134	241	203	222	462	3	237	1.023E-06	267
DESULFOASV1_36570-Fe-S-binding_protein	AF-C1EKT5-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-C1EKT5-F1-model_v4 Lactate utilization protein A 2	0.137	241	202	222	462	3	237	1.173E-06	264
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q81ND5-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q81ND5-F1-model_v4 Lactate utilization protein A 2	0.135	246	207	222	467	3	242	1.767E-06	263
DESULFOASV1_36570-Fe-S-binding_protein	AF-C4L0S2-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-C4L0S2-F1-model_v4 Lactate utilization protein A	0.151	250	202	213	462	1	239	9.775E-07	248
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q81GA5-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q81GA5-F1-model_v4 Lactate utilization protein A	0.156	241	197	222	462	3	236	2.543E-06	247
DESULFOASV1_36570-Fe-S-binding_protein	AF-A9VI76-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-A9VI76-F1-model_v4 Lactate utilization protein A 1	0.139	241	201	222	462	3	237	2.322E-06	246
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q62Q36-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q62Q36-F1-model_v4 Lactate utilization protein A	0.121	241	205	222	462	3	236	2.662E-06	243
DESULFOASV1_36570-Fe-S-binding_protein	AF-B9E9G8-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-B9E9G8-F1-model_v4 Lactate utilization protein A	0.150	249	205	222	470	3	244	3.661E-06	243
DESULFOASV1_36570-Fe-S-binding_protein	AF-A7GMJ2-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-A7GMJ2-F1-model_v4 Lactate utilization protein A	0.152	241	198	222	462	3	236	3.498E-06	242
DESULFOASV1_36570-Fe-S-binding_protein	AF-A9VKN0-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-A9VKN0-F1-model_v4 Lactate utilization protein A 2	0.160	241	196	222	462	3	236	4.011E-06	241
DESULFOASV1_36570-Fe-S-binding_protein	AF-B7HH58-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-B7HH58-F1-model_v4 Lactate utilization protein A	0.156	241	197	222	462	3	236	3.661E-06	241
DESULFOASV1_36570-Fe-S-binding_protein	AF-P77252-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P77252-F1-model_v4 Uncharacterized protein YkgE	0.132	240	202	222	461	3	236	6.042E-06	241
DESULFOASV1_36570-Fe-S-binding_protein	AF-A8FDN4-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-A8FDN4-F1-model_v4 Lactate utilization protein A	0.100	241	210	222	462	3	236	6.042E-06	240
DESULFOASV1_36570-Fe-S-binding_protein	AF-C1EM10-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-C1EM10-F1-model_v4 Lactate utilization protein A 1	0.156	241	197	222	462	3	236	4.197E-06	240
DESULFOASV1_36570-Fe-S-binding_protein	AF-Q6HLP2-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-Q6HLP2-F1-model_v4 Lactate utilization protein A	0.156	241	197	222	462	3	236	4.393E-06	240
DESULFOASV1_36570-Fe-S-binding_protein	AF-P77748-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-P77748-F1-model_v4 Uncharacterized protein YdiJ	0.131	456	352	58	463	560	1015	2.276E-07	240
DESULFOASV1_36570-Fe-S-binding_protein	AF-O07020-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-O07020-F1-model_v4 Lactate utilization protein A	0.133	241	202	222	462	3	236	4.011E-06	238
DESULFOASV1_36570-Fe-S-binding_protein	AF-B7I0K9-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-B7I0K9-F1-model_v4 Lactate utilization protein A	0.156	241	197	222	462	3	236	5.036E-06	238
DESULFOASV1_36570-Fe-S-binding_protein	AF-B7IMD3-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-B7IMD3-F1-model_v4 Lactate utilization protein A	0.152	241	198	222	462	3	236	6.324E-06	234
DESULFOASV1_36570-Fe-S-binding_protein	AF-B7JF00-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-B7JF00-F1-model_v4 Lactate utilization protein A 1	0.156	241	197	222	462	3	236	6.619E-06	234
DESULFOASV1_36570-Fe-S-binding_protein	AF-C3P4C3-F1-model_v4	DESULFOASV1_36570-Fe-S-binding_protein	AF-C3P4C3-F1-model_v4 Lactate utilization protein A 1	0.156	241	197	222	462	3	236	7.250E-06	233
