query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-P55650-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-P55650-F1-model_v4 Uncharacterized protein y4sG	0.291	341	233	1	341	1	329	2.433E-28	912
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q9KCF0-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q9KCF0-F1-model_v4 D-alanine--D-alanine ligase	0.250	339	227	1	339	1	304	3.985E-25	855
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B1I3W6-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B1I3W6-F1-model_v4 D-alanine--D-alanine ligase	0.238	339	230	2	340	4	306	2.141E-25	840
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A4J5G8-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A4J5G8-F1-model_v4 D-alanine--D-alanine ligase	0.251	338	230	2	339	4	311	4.462E-25	830
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q0AXT9-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q0AXT9-F1-model_v4 D-alanine--D-alanine ligase	0.239	338	232	2	339	3	308	1.547E-24	818
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q3ACF5-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q3ACF5-F1-model_v4 D-alanine--D-alanine ligase	0.263	340	227	1	340	1	309	1.305E-24	814
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A5D2F9-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A5D2F9-F1-model_v4 D-alanine--D-alanine ligase	0.240	343	237	1	343	3	315	2.721E-24	813
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A0LQR5-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A0LQR5-F1-model_v4 D-alanine--D-alanine ligase	0.236	339	234	1	339	4	310	9.842E-25	810
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q897P8-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q897P8-F1-model_v4 D-alanine--D-alanine ligase A	0.262	342	221	1	342	1	300	4.787E-24	808
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q6ASD8-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q6ASD8-F1-model_v4 D-alanine--D-alanine ligase	0.241	342	235	1	342	9	318	9.431E-24	797
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q3A2G9-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q3A2G9-F1-model_v4 D-alanine--D-alanine ligase	0.256	335	216	2	336	10	300	9.431E-24	789
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B1KV16-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B1KV16-F1-model_v4 D-alanine--D-alanine ligase	0.235	339	226	1	339	1	297	9.431E-24	786
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B5YFT1-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B5YFT1-F1-model_v4 D-alanine--D-alanine ligase	0.236	340	229	1	340	1	301	1.659E-23	782
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-C4XRH9-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-C4XRH9-F1-model_v4 D-alanine--D-alanine ligase	0.246	344	228	1	344	1	304	2.201E-23	780
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A5HYZ6-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A5HYZ6-F1-model_v4 D-alanine--D-alanine ligase	0.237	339	226	1	339	1	297	1.324E-23	776
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q2RJD5-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q2RJD5-F1-model_v4 D-alanine--D-alanine ligase	0.268	338	224	1	338	1	307	2.080E-23	766
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-P46805-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-P46805-F1-model_v4 D-alanine--D-alanine ligase	0.239	339	225	1	339	1	297	2.759E-23	764
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B1L9P4-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B1L9P4-F1-model_v4 D-alanine--D-alanine ligase	0.239	339	225	1	339	1	297	3.269E-23	763
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B0US69-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-B0US69-F1-model_v4 D-alanine--D-alanine ligase	0.254	336	222	3	338	10	308	6.085E-23	762
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-C1FSC4-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-C1FSC4-F1-model_v4 D-alanine--D-alanine ligase	0.233	339	227	1	339	1	297	3.872E-23	759
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A7FPH8-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A7FPH8-F1-model_v4 D-alanine--D-alanine ligase	0.231	339	228	1	339	1	297	6.813E-23	759
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q7WFS4-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q7WFS4-F1-model_v4 D-alanine--D-alanine ligase	0.239	336	227	1	336	6	304	2.919E-23	759
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A5IKG2-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A5IKG2-F1-model_v4 D-alanine--D-alanine ligase	0.226	345	234	1	345	1	303	1.071E-22	756
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q81Q29-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q81Q29-F1-model_v4 D-alanine--D-alanine ligase	0.235	342	229	1	342	1	300	1.858E-23	755
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q7VUQ5-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q7VUQ5-F1-model_v4 D-alanine--D-alanine ligase	0.239	336	227	1	336	6	304	3.872E-23	755
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A8F8C8-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A8F8C8-F1-model_v4 D-alanine--D-alanine ligase	0.263	338	217	1	338	1	295	7.209E-23	754
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q0I1D1-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q0I1D1-F1-model_v4 D-alanine--D-alanine ligase	0.258	336	221	3	338	10	308	1.268E-22	754
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q1MQJ1-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q1MQJ1-F1-model_v4 D-alanine--D-alanine ligase	0.210	342	237	1	342	1	301	1.199E-22	753
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A2SCY7-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A2SCY7-F1-model_v4 D-alanine--D-alanine ligase	0.246	335	228	2	336	12	314	3.660E-23	753
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q72F80-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q72F80-F1-model_v4 D-alanine--D-alanine ligase	0.230	342	232	1	342	1	302	4.396E-22	747
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q65RY9-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q65RY9-F1-model_v4 D-alanine--D-alanine ligase	0.246	335	224	2	336	8	305	2.361E-22	746
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-P57819-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-P57819-F1-model_v4 D-alanine--D-alanine ligase	0.254	336	222	2	337	9	307	5.751E-23	746
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A7GAL4-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-A7GAL4-F1-model_v4 D-alanine--D-alanine ligase	0.237	339	226	1	339	1	297	1.199E-22	742
LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q7W4B6-F1-model_v4	LOKIASV2_0779_ESMFold_hypothetical_protein	AF-Q7W4B6-F1-model_v4 D-alanine--D-alanine ligase	0.242	335	225	1	335	6	303	6.813E-23	742
