query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1m2b-assembly1.cif.gz_B	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1m2b-assembly1.cif.gz_B Crystal structure at 1.25 Angstroms resolution of the Cys55Ser variant of the thioredoxin-like [2Fe-2S] ferredoxin from Aquifex aeolicus	0.340	100	63	6	102	2	101	3.164E-10	336
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1m2a-assembly1.cif.gz_A	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1m2a-assembly1.cif.gz_A Crystal structure at 1.5 Angstroms resolution of the wild type thioredoxin-like [2Fe-2S] ferredoxin from Aquifex aeolicus	0.350	100	62	6	102	4	103	4.425E-10	332
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1m2d-assembly1.cif.gz_B	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1m2d-assembly1.cif.gz_B Crystal structure at 1.05 Angstroms resolution of the Cys59Ser variant of the thioredoxin-like [2Fe-2S] ferredoxin from Aquifex aeolicus	0.340	100	63	6	102	2	101	9.893E-10	323
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1f37-assembly1.cif.gz_B	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	1f37-assembly1.cif.gz_B STRUCTURE OF A THIOREDOXIN-LIKE [2FE-2S] FERREDOXIN FROM AQUIFEX AEOLICUS	0.333	99	63	6	101	4	102	9.893E-10	318
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	5abr-assembly1.cif.gz_B	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	5abr-assembly1.cif.gz_B Structure of FeSI protein from Azotobacter vinelandii	0.297	101	69	4	102	1	101	7.909E-09	300
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7q4v-assembly1.cif.gz_B	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7q4v-assembly1.cif.gz_B Electron bifurcating hydrogenase - HydABC from A. woodii	0.223	101	73	1	101	1	95	2.209E-06	200
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p5h-assembly1.cif.gz_b	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p5h-assembly1.cif.gz_b TmHydABC- D2 map	0.279	93	61	6	98	26	110	2.258E-04	149
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p5h-assembly1.cif.gz_C	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p5h-assembly1.cif.gz_C TmHydABC- D2 map	0.295	92	61	1	92	65	151	1.726E-04	146
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p8n-assembly1.cif.gz_b	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p8n-assembly1.cif.gz_b TmHydABC- T. maritima hydrogenase with bridge closed	0.280	88	58	6	93	26	106	2.414E-04	144
DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p92-assembly1.cif.gz_B	DESULFOASV1_13000-2Fe-2S-ferredoxin_domain-containing_protein	7p92-assembly1.cif.gz_B TmHydABC- T. maritima bifurcating hydrogenase with bridge domain up	0.279	93	61	6	98	26	110	3.860E-04	143
