Relative path to structure,Relative path to metrics (JSON/log),Modelling software,Entry title,Entry description,Entry short name,pTM (optional)
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0001_ESMFold_ORC1-type_DNA_replication_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0001_ESMFold_ORC1-type_DNA_replication_protein.pdb,ESMFold,ORC1-type DNA replication protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0001,0.921
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0002_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0002_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0002,0.608
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0003_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0003_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: DNA polymerase II small subunit ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0003,0.682
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0004_AF2_DNA-directed_DNA_polymerase_II_large_subunit.pdb,../folded_proteins/AF2.3/Loki-ASV2_OOM_prot117/ranking_debug.json,AlphaFold2.3,DNA-directed DNA polymerase II large subunit,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0004,-
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0005_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0005_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: tRNA (guanine(10)-N2)-dimethyltransferase ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0005,0.951
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0006_ESMFold_glycoside_hydrolase_family_3_N-terminal_domain-containing_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0006_ESMFold_glycoside_hydrolase_family_3_N-terminal_domain-containing_protein.pdb,ESMFold,glycoside hydrolase family 3 N-terminal domain-containing protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0006,0.946
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0007_ESMFold_50S_ribosomal_protein_L2.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0007_ESMFold_50S_ribosomal_protein_L2.pdb,ESMFold,50S ribosomal protein L2,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0007,0.6
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0008_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0008_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0008,0.643
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0009_ESMFold_methionine_adenosyltransferase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0009_ESMFold_methionine_adenosyltransferase.pdb,ESMFold,methionine adenosyltransferase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0009,0.895
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0010_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0010_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0010,0.199
