original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_00010 ORC1-type DNA replication protein	LOKIASV2_0001_ESMFold_ORC1-type_DNA_replication_protein	AF-B6YUE9-F1-model_v4	ORC1-type DNA replication protein 	0.467	409	216	1	409	1	407	1.251E-44	1922
>LOKIASV2_00020 hypothetical protein	LOKIASV2_0002_ESMFold_hypothetical_protein	5y6i-assembly1.cif.gz_B	Crystal structure of Pseudomonas aeruginosa HmgR 	0.161	68	51	9	76	6	67	0.1458	74
>LOKIASV2_00030 hypothetical protein	LOKIASV2_0003_ESMFold_hypothetical_protein	AF-O27456-F1-model_v4	DNA polymerase II small subunit 	0.375	433	260	249	681	65	481	1.775E-52	1937
>LOKIASV2_00040 DNA-directed DNA polymerase II large subunit	LOKIASV2_0004_AF2_DNA-directed_DNA_polymerase_II_large_subunit	AF-A0B8K5-F1-model_v4	DNA polymerase II large subunit 	0.402	1221	661	9	1229	2	1108	0	5227
>LOKIASV2_00050 hypothetical protein	LOKIASV2_0005_ESMFold_hypothetical_protein	AF-O26820-F1-model_v4	tRNA (guanine(10)-N2)-dimethyltransferase 	0.169	410	278	26	435	2	336	5.663E-23	678
>LOKIASV2_00060 glycoside hydrolase family 3 N-terminal domain-containing protein	LOKIASV2_0006_ESMFold_glycoside_hydrolase_family_3_N-terminal_domain-containing_protein	7zeq-assembly1.cif.gz_Y	Apo crystal structure of beta-xylosidase from Thermotoga maritima 	0.403	778	448	1	778	1	751	1.207E-87	3211
>LOKIASV2_00070 50S ribosomal protein L2	LOKIASV2_0007_ESMFold_50S_ribosomal_protein_L2	AF-O28357-F1-model_v4	50S ribosomal protein L2 	0.525	234	111	1	234	1	234	6.685E-23	658
>LOKIASV2_00080 hypothetical protein	LOKIASV2_0008_ESMFold_hypothetical_protein	AF-Q0IH40-F1-model_v4	DNL-type zinc finger protein 	0.222	27	19	50	76	138	163	9.968	19
>LOKIASV2_00090 methionine adenosyltransferase	LOKIASV2_0009_ESMFold_methionine_adenosyltransferase	AF-A3MY01-F1-model_v4	S-adenosylmethionine synthase 	0.429	408	229	1	408	1	402	5.847E-52	1928
>LOKIASV2_00100 hypothetical protein	LOKIASV2_0010_ESMFold_hypothetical_protein	AF-Q8EUM5-F1-model_v4	Protein GrpE 	0.15	100	80	1	95	1	100	1.866	29
>LOKIASV2_00110 archease	LOKIASV2_0011_ESMFold_archease	AF-Q8TU10-F1-model_v4	Protein archease 	0.393	149	88	1	149	1	146	1.76E-15	633
>LOKIASV2_00120 hypothetical protein	LOKIASV2_0012_ESMFold_hypothetical_protein	6jlz-assembly1.cif.gz_D	P-eIF2a - eIF2B complex 	0.101	192	163	14	205	132	313	0.002103	79
>LOKIASV2_00130 hypothetical protein	LOKIASV2_0013_ESMFold_hypothetical_protein	AF-P0AF79-F1-model_v4	Uncharacterized protein YjfJ 	0.107	202	171	8	209	23	214	0.03306	112
>LOKIASV2_00140 hypothetical protein	LOKIASV2_0014_ESMFold_hypothetical_protein	AF-Q9V1Z9-F1-model_v4	KEOPS complex subunit Pcc1 	0.225	80	59	2	81	5	81	0.000002323	227
>LOKIASV2_00150 50S ribosomal protein L37ae	LOKIASV2_0015_ESMFold_50S_ribosomal_protein_L37ae	AF-Q8ZVN1-F1-model_v4	50S ribosomal protein L37Ae 	0.343	96	62	1	96	3	98	0.0001397	125
>LOKIASV2_00160 exosome complex protein Rrp42	LOKIASV2_0016_ESMFold_exosome_complex_protein_Rrp42	AF-C5A2B8-F1-model_v4	Exosome complex component Rrp42 	0.417	268	155	2	268	1	268	5.145E-38	1426
>LOKIASV2_00170 hypothetical protein	LOKIASV2_0017_ESMFold_hypothetical_protein	AF-Q5JIR6-F1-model_v4	Exosome complex component Rrp41 	0.537	242	112	10	251	5	246	9.256E-38	1399
>LOKIASV2_00180 exosome complex RNA-binding protein Rrp4	LOKIASV2_0018_ESMFold_exosome_complex_RNA-binding_protein_Rrp4	AF-Q8TPX7-F1-model_v4	Exosome complex component Rrp4 	0.344	238	144	9	246	3	222	1.224E-25	903
>LOKIASV2_00190 ribosome assembly factor SBDS	LOKIASV2_0019_ESMFold_ribosome_assembly_factor_SBDS	AF-Q58011-F1-model_v4	Ribosome maturation protein SDO1 homolog 	0.396	252	138	12	263	7	236	1.525E-27	1006
>LOKIASV2_00200 archaeal proteasome endopeptidase complex subunit alpha	LOKIASV2_0020_ESMFold_archaeal_proteasome_endopeptidase_complex_subunit_alpha	AF-A7I9C7-F1-model_v4	Proteasome subunit alpha 	0.454	239	129	1	239	1	238	5.414E-32	1244
>LOKIASV2_00210 hypothetical protein	LOKIASV2_0021_ESMFold_hypothetical_protein	AF-Q5I0K5-F1-model_v4	Palmitoyl-protein thioesterase ABHD10, mitochondrial 	0.179	210	120	3	149	68	277	0.00000008633	236
>LOKIASV2_00220 hypothetical protein	LOKIASV2_0022_ESMFold_hypothetical_protein	AF-O06743-F1-model_v4	Uncharacterized N-acetyltransferase YitH 	0.177	294	227	2	295	6	282	1.674E-21	676
>LOKIASV2_00230 hypothetical protein	LOKIASV2_0023_ESMFold_hypothetical_protein	AF-A0A0F8VPX6-F1-model_v4	Loki profilin-3 	0.275	119	86	10	128	4	122	4.583E-10	350
>LOKIASV2_00240 DUF2110 family protein	LOKIASV2_0024_ESMFold_DUF211_ESMFold_family_protein	AF-A6Q4N2-F1-model_v4	Polyribonucleotide nucleotidyltransferase 	0.16	158	119	46	203	589	731	0.000006394	126
>LOKIASV2_00250 hypothetical protein	LOKIASV2_0025_ESMFold_hypothetical_protein	AF-P15802-F1-model_v4	Acyl-coenzyme A:6-aminopenicillanic-acid-acyltransferase 40 kDa form 	0.168	345	284	76	420	3	344	2.11E-15	483
>LOKIASV2_00260 hypothetical protein	LOKIASV2_0026_ESMFold_hypothetical_protein	AF-Q4VBT1-F1-model_v4	Fatty acid binding protein 1-B.1 	0.137	51	43	27	77	73	123	5.873	50
>LOKIASV2_00270 M1 family metallopeptidase	LOKIASV2_0027_ESMFold_M1_family_metallopeptidase	AF-Q4TT88-F1-model_v4	Puromycin-sensitive aminopeptidase 	0.28	847	590	2	821	85	931	3.205E-58	2610
>LOKIASV2_00280 hypothetical protein	LOKIASV2_0028_ESMFold_hypothetical_protein	4qqb-assembly2.cif.gz_Y	Structural basis for the assembly of the SXL-UNR translation regulatory complex 	0.259	54	39	5	58	1	53	0.03524	100
>LOKIASV2_00290 calcium-translocating P-type ATPase, SERCA-type	LOKIASV2_0029_AF2_calcium-translocating_P-type_ATPase-_SERCA-type	AF-P9WPS9-F1-model_v4	Probable cation-transporting ATPase F 	0.273	953	646	11	963	12	901	2.709E-62	2891
>LOKIASV2_00300 hypothetical protein	LOKIASV2_0030_ESMFold_hypothetical_protein	AF-Q6FT36-F1-model_v4	COP9 signalosome complex subunit 5 	0.111	166	133	2	152	67	232	0.000001725	180
>LOKIASV2_00310 ADP-ribosylglycohydrolase family protein	LOKIASV2_0031_ESMFold_ADP-ribosylglycohydrolase_family_protein	6hh4-assembly2.cif.gz_B	ADP-ribosylserine hydrolase ARH3 of Latimeria chalumnae in complex with ADP-ribosyl-L-arginine 	0.205	318	204	2	258	12	329	2.819E-12	502
>LOKIASV2_00320 B12-binding domain-containing protein	LOKIASV2_0032_ESMFold_B12-binding_domain-containing_protein	AF-E3PRJ4-F1-model_v4	Lysine 5,6-aminomutase beta subunit 	0.666	261	87	1	261	1	261	3.144E-38	1154
>LOKIASV2_00330 D-lysine 5,6-aminomutase subunit alpha	LOKIASV2_0033_ESMFold_D-lysine_5-6-aminomutase_subunit_alpha	AF-E3PRJ5-F1-model_v4	Lysine 5,6-aminomutase alpha subunit 	0.737	511	134	4	514	8	518	2.995E-51	2474
>LOKIASV2_00340 endonuclease MutS2	LOKIASV2_0034_ESMFold_endonuclease_MutS2	AF-B8ZLH4-F1-model_v4	Endonuclease MutS2 	0.184	501	395	2	486	4	504	9.487E-24	765
>LOKIASV2_00350 hypothetical protein	LOKIASV2_0035_ESMFold_hypothetical_protein	AF-P08240-F1-model_v4	Signal recognition particle receptor subunit alpha 	0.107	179	145	7	185	403	565	0.002938	77
