query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-A4WBW4-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-A4WBW4-F1-model_v4 Flagellar protein FliT	0.099	99	76	8	106	7	91	5.352E+00	21
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-A8Z073-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-A8Z073-F1-model_v4 ATP-dependent helicase/nuclease subunit A	0.135	105	84	7	104	219	323	9.596E+00	20
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-F4KHG6-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-F4KHG6-F1-model_v4 Carboxyl-terminal-processing peptidase 1, chloroplastic	0.146	74	47	18	91	123	178	6.502E+00	19
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q5PI05-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q5PI05-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	6.502E+00	17
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q57N39-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q57N39-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	6.502E+00	17
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5F2S6-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5F2S6-F1-model_v4 Flagellar protein FliT	0.068	100	77	7	106	6	89	6.093E+00	17
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5R0Z6-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5R0Z6-F1-model_v4 Flagellar protein FliT	0.068	100	77	7	106	6	89	6.093E+00	17
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-C0Q292-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-C0Q292-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	6.502E+00	17
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q9KWH3-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q9KWH3-F1-model_v4 DNA protection during starvation protein	0.137	128	81	8	102	31	158	8.428E+00	17
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-A9MU47-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-A9MU47-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	8.428E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B4T857-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B4T857-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	8.428E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B4SW68-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B4SW68-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	8.428E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B4TZJ1-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B4TZJ1-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	8.428E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-P0A1N3-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-P0A1N3-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	7.402E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5R7H0-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5R7H0-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	7.402E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-P0A1N2-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-P0A1N2-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	7.402E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5BGA7-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5BGA7-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	8.993E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5FRX0-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-B5FRX0-F1-model_v4 Flagellar protein FliT	0.076	100	80	7	106	2	89	7.402E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-O06966-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-O06966-F1-model_v4 Putative uncharacterized protein YvcB	0.165	111	77	10	102	511	621	6.937E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q93MK7-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-Q93MK7-F1-model_v4 DNA-directed RNA polymerase subunit beta	0.131	99	58	8	106	991	1058	9.596E+00	16
LOKIASV2_0430_ESMFold_hypothetical_protein	AF-P39740-F1-model_v4	LOKIASV2_0430_ESMFold_hypothetical_protein	AF-P39740-F1-model_v4 Flagellar protein FliT	0.112	98	80	8	105	3	93	9.596E+00	13
