Sample	proteinfold-avg_pLDDT
LOKIASV2_0001_ESMFold_ORC1-type_DNA_replication_protein.pdb	91.67
LOKIASV2_0002_ESMFold_hypothetical_protein.pdb	90.13
LOKIASV2_0003_ESMFold_hypothetical_protein.pdb	78.48
LOKIASV2_0004_AF2_DNA-directed_DNA_polymerase_II_large_subunit.pdb	90.14
LOKIASV2_0005_ESMFold_hypothetical_protein.pdb	88.11
LOKIASV2_0006_ESMFold_glycoside_hydrolase_family_3_N-terminal_domain-containing_protein.pdb	85.9
LOKIASV2_0007_ESMFold_50S_ribosomal_protein_L2.pdb	62.77
LOKIASV2_0008_ESMFold_hypothetical_protein.pdb	69.15
LOKIASV2_0009_ESMFold_methionine_adenosyltransferase.pdb	84.22
LOKIASV2_0010_ESMFold_hypothetical_protein.pdb	52.15
LOKIASV2_0011_ESMFold_archease.pdb	84.71
LOKIASV2_0012_ESMFold_hypothetical_protein.pdb	83.48
LOKIASV2_0013_ESMFold_hypothetical_protein.pdb	62.52
LOKIASV2_0014_ESMFold_hypothetical_protein.pdb	78.32
LOKIASV2_0015_ESMFold_50S_ribosomal_protein_L37ae.pdb	48.9
LOKIASV2_0016_ESMFold_exosome_complex_protein_Rrp42.pdb	94.57
LOKIASV2_0017_ESMFold_hypothetical_protein.pdb	84.43
LOKIASV2_0018_ESMFold_exosome_complex_RNA-binding_protein_Rrp4.pdb	92.38
LOKIASV2_0019_ESMFold_ribosome_assembly_factor_SBDS.pdb	90.82
LOKIASV2_0020_ESMFold_archaeal_proteasome_endopeptidase_complex_subunit_alpha.pdb	91.23
LOKIASV2_0021_ESMFold_hypothetical_protein.pdb	87.63
LOKIASV2_0022_ESMFold_hypothetical_protein.pdb	93.08
LOKIASV2_0023_ESMFold_hypothetical_protein.pdb	69.89
LOKIASV2_0024_ESMFold_DUF211_ESMFold_family_protein.pdb	82.18
LOKIASV2_0025_ESMFold_hypothetical_protein.pdb	82.13
LOKIASV2_0026_ESMFold_hypothetical_protein.pdb	44.48
LOKIASV2_0027_ESMFold_M1_family_metallopeptidase.pdb	82.28
LOKIASV2_0028_ESMFold_hypothetical_protein.pdb	65.98
LOKIASV2_0029_AF2_calcium-translocating_P-type_ATPase-_SERCA-type.pdb	84.86
LOKIASV2_0030_ESMFold_hypothetical_protein.pdb	69.92
LOKIASV2_0031_ESMFold_ADP-ribosylglycohydrolase_family_protein.pdb	94.38
LOKIASV2_0032_ESMFold_B12-binding_domain-containing_protein.pdb	80.93
LOKIASV2_0033_ESMFold_D-lysine_5-6-aminomutase_subunit_alpha.pdb	73.63
LOKIASV2_0034_ESMFold_endonuclease_MutS2.pdb	93.93
LOKIASV2_0035_ESMFold_hypothetical_protein.pdb	93.5
LOKIASV2_0036_ESMFold_lysine_2-3-aminomutase.pdb	86.33
LOKIASV2_0037_ESMFold_L-erythro-3-5-diaminohexanoate_dehydrogenase.pdb	78.3
LOKIASV2_0038_ESMFold_butyrate--acetoacetate_CoA-transferase_subunit_B.pdb	86.22
LOKIASV2_0039_ESMFold_CoA_transferase_subunit_A.pdb	88.68
LOKIASV2_0040_ESMFold_Lrp-AsnC_family_transcriptional_regulator.pdb	83.68
LOKIASV2_0041_ESMFold_cytosol_nonspecific_dipeptidase.pdb	84.78
LOKIASV2_0042_ESMFold_3-keto-5-aminohexanoate_cleavage_protein.pdb	91.72
LOKIASV2_0043_ESMFold_glutamate-1-semialdehyde_2-1-aminomutase.pdb	81.08
LOKIASV2_0044_ESMFold_hypothetical_protein.pdb	51.86
LOKIASV2_0045_ESMFold_hypothetical_protein.pdb	85.1
LOKIASV2_0046_ESMFold_multiprotein_bridging_factor_aMBF1.pdb	77.13
LOKIASV2_0047_ESMFold_peptide-methionine_-S--S-oxide_reductase_MsrA.pdb	85.43
LOKIASV2_0048_ESMFold_hypothetical_protein.pdb	68.91
LOKIASV2_0049_ESMFold_tyrosine_decarboxylase_MfnA.pdb	71.45
LOKIASV2_0050_ESMFold_ATP-dependent_helicase.pdb	88.5
LOKIASV2_0051_ESMFold_FGGY-family_carbohydrate_kinase.pdb	92.98
LOKIASV2_0052_ESMFold_hypothetical_protein.pdb	89.34
LOKIASV2_0053_ESMFold_hypothetical_protein.pdb	83.43
LOKIASV2_0054_ESMFold_Lrp-AsnC_ligand_binding_domain-containing_protein.pdb	85.91
LOKIASV2_0055_ESMFold_nucleotide_pyrophosphohydrolase.pdb	83.13
LOKIASV2_0056_ESMFold_hypothetical_protein.pdb	72.05
LOKIASV2_0057_ESMFold_hypothetical_protein.pdb	70.41
LOKIASV2_0058_ESMFold_hypothetical_protein.pdb	61.22
LOKIASV2_0059_ESMFold_hypothetical_protein.pdb	87.37
LOKIASV2_0060_ESMFold_hypothetical_protein.pdb	57.4
LOKIASV2_0061_ESMFold_nascent_polypeptide-associated_complex_protein.pdb	61.74
