original_ORF_annotation	foldseek description	evalue
ORC1-type DNA replication protein	ORC1-type DNA replication protein 	0.0000000000000000000000000000000000000000000125000
hypothetical protein	Crystal structure of Pseudomonas aeruginosa HmgR 	0.1458000000000000000000000000000000000000000000000
hypothetical protein	DNA polymerase II small subunit 	0.0000000000000000000000000000000000000000000000000
DNA-directed DNA polymerase II large subunit	DNA polymerase II large subunit 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	tRNA (guanine(10)-N2)-dimethyltransferase 	0.0000000000000000000000566000000000000000000000000
glycoside hydrolase family 3 N-terminal domain-containing protein	Apo crystal structure of beta-xylosidase from Thermotoga maritima 	0.0000000000000000000000000000000000000000000000000
50S ribosomal protein L2	50S ribosomal protein L2 	0.0000000000000000000000669000000000000000000000000
hypothetical protein	DNL-type zinc finger protein 	9.9680000000000000000000000000000000000000000000000
methionine adenosyltransferase	S-adenosylmethionine synthase 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	Protein GrpE 	1.8660000000000000000000000000000000000000000000000
archease	Protein archease 	0.0000000000000017600000000000000000000000000000000
hypothetical protein	P-eIF2a - eIF2B complex 	0.0021030000000000000000000000000000000000000000000
hypothetical protein	Uncharacterized protein YjfJ 	0.0330600000000000000000000000000000000000000000000
hypothetical protein	KEOPS complex subunit Pcc1 	0.0000023230000000000000000000000000000000000000000
50S ribosomal protein L37ae	50S ribosomal protein L37Ae 	0.0001397000000000000000000000000000000000000000000
exosome complex protein Rrp42	Exosome complex component Rrp42 	0.0000000000000000000000000000000000000515000000000
hypothetical protein	Exosome complex component Rrp41 	0.0000000000000000000000000000000000000926000000000
exosome complex RNA-binding protein Rrp4	Exosome complex component Rrp4 	0.0000000000000000000000001220000000000000000000000
ribosome assembly factor SBDS	Ribosome maturation protein SDO1 homolog 	0.0000000000000000000000000015300000000000000000000
archaeal proteasome endopeptidase complex subunit alpha	Proteasome subunit alpha 	0.0000000000000000000000000000000541000000000000000
hypothetical protein	"Palmitoyl-protein thioesterase ABHD10, mitochondrial "	0.0000000863000000000000000000000000000000000000000
hypothetical protein	Uncharacterized N-acetyltransferase YitH 	0.0000000000000000000016700000000000000000000000000
hypothetical protein	Loki profilin-3 	0.0000000004580000000000000000000000000000000000000
DUF2110 family protein	Polyribonucleotide nucleotidyltransferase 	0.0000063940000000000000000000000000000000000000000
hypothetical protein	Acyl-coenzyme A:6-aminopenicillanic-acid-acyltransferase 40 kDa form 	0.0000000000000021100000000000000000000000000000000
hypothetical protein	Fatty acid binding protein 1-B.1 	5.8730000000000000000000000000000000000000000000000
M1 family metallopeptidase	Puromycin-sensitive aminopeptidase 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	Structural basis for the assembly of the SXL-UNR translation regulatory complex 	0.0352400000000000000000000000000000000000000000000
"calcium-translocating P-type ATPase, SERCA-type"	Probable cation-transporting ATPase F 	0.0000000000000000000000000000000000000000000000000
hypothetical protein	COP9 signalosome complex subunit 5 	0.0000017250000000000000000000000000000000000000000
ADP-ribosylglycohydrolase family protein	ADP-ribosylserine hydrolase ARH3 of Latimeria chalumnae in complex with ADP-ribosyl-L-arginine 	0.0000000000028200000000000000000000000000000000000
B12-binding domain-containing protein	"Lysine 5,6-aminomutase beta subunit "	0.0000000000000000000000000000000000000314000000000
"D-lysine 5,6-aminomutase subunit alpha"	"Lysine 5,6-aminomutase alpha subunit "	0.0000000000000000000000000000000000000000000000000
endonuclease MutS2	Endonuclease MutS2 	0.0000000000000000000000094900000000000000000000000
hypothetical protein	Signal recognition particle receptor subunit alpha 	0.0029380000000000000000000000000000000000000000000
"lysine 2,3-aminomutase"	"L-lysine 2,3-aminomutase "	0.0000000000000000000000000000000000000000000000000
"L-erythro-3,5-diaminohexanoate dehydrogenase"	"L-erythro-3,5-diaminohexanoate dehydrogenase "	0.0000000000000000000000000000000000000000000000014
butyrate--acetoacetate CoA-transferase subunit B	Butyrate--acetoacetate CoA-transferase subunit B 	0.0000000000000000000000000000000010800000000000000
CoA transferase subunit A	Butyrate--acetoacetate CoA-transferase subunit A 	0.0000000000000000000000000000597000000000000000000
Lrp-AsnC family transcriptional regulator	Uncharacterized HTH-type transcriptional regulator PYRAB04820 	0.0000000000003730000000000000000000000000000000000
