query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_3068_hypothetical_protein	AF-Q2EMT4-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q2EMT4-F1-model_v4 Dolichyl-phosphooligosaccharide-protein glycotransferase	0.115	704	561	4	638	16	719	1.893E-05	155
DESULFOASV1_3068_hypothetical_protein	AF-P46977-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-P46977-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	0.096	622	519	14	635	7	581	1.814E-05	150
DESULFOASV1_3068_hypothetical_protein	AF-Q5RCE2-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q5RCE2-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	0.098	626	520	10	635	4	581	2.770E-05	148
DESULFOASV1_3068_hypothetical_protein	AF-P39007-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-P39007-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3	0.131	618	493	18	635	5	572	7.151E-06	140
DESULFOASV1_3068_hypothetical_protein	AF-O94335-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-O94335-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit stt3	0.124	622	522	14	635	10	606	2.242E-05	140
DESULFOASV1_3068_hypothetical_protein	AF-Q7XQ88-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q7XQ88-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	0.109	621	529	15	635	10	604	2.149E-05	133
DESULFOASV1_3068_hypothetical_protein	AF-F1PJP5-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-F1PJP5-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	0.096	622	519	14	635	7	581	7.027E-05	129
DESULFOASV1_3068_hypothetical_protein	AF-Q54NM9-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q54NM9-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3	0.100	618	506	18	635	35	597	4.801E-05	129
DESULFOASV1_3068_hypothetical_protein	AF-Q2KJI2-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q2KJI2-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	0.092	622	521	14	635	7	581	9.449E-05	128
DESULFOASV1_3068_hypothetical_protein	AF-P46978-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-P46978-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	0.095	622	519	14	635	7	581	6.736E-05	128
DESULFOASV1_3068_hypothetical_protein	AF-A6X919-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-A6X919-F1-model_v4 Probable C-mannosyltransferase DPY19L1	0.111	654	568	24	663	92	745	4.801E-05	127
DESULFOASV1_3068_hypothetical_protein	AF-E2RG47-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-E2RG47-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	0.105	627	539	9	635	58	660	1.783E-04	126
DESULFOASV1_3068_hypothetical_protein	AF-Q9FX21-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q9FX21-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	0.110	635	534	1	635	18	618	7.331E-05	124
DESULFOASV1_3068_hypothetical_protein	AF-P54002-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-P54002-F1-model_v4 Alpha-1,2-mannosyltransferase algn-9	0.158	392	316	14	405	48	423	7.203E-04	123
DESULFOASV1_3068_hypothetical_protein	AF-Q1MLH5-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q1MLH5-F1-model_v4 Lipid A galacturonosyltransferase RgtD	0.136	383	293	26	408	6	345	1.827E-03	122
DESULFOASV1_3068_hypothetical_protein	AF-Q93ZY3-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q93ZY3-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	0.117	641	560	1	635	1	641	5.933E-05	122
DESULFOASV1_3068_hypothetical_protein	AF-Q6P8H8-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q6P8H8-F1-model_v4 Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase	0.132	524	448	14	530	3	526	7.647E-05	120
DESULFOASV1_3068_hypothetical_protein	AF-Q8TCJ2-F1-model_v4	DESULFOASV1_3068_hypothetical_protein	AF-Q8TCJ2-F1-model_v4 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	0.112	622	535	14	635	58	660	1.940E-04	120
