query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q51697-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q51697-F1-model_v4 Isoquinoline 1-oxidoreductase subunit alpha	0.470	151	78	1	148	1	151	1.316E-16	747
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q88FX9-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q88FX9-F1-model_v4 Nicotinate dehydrogenase subunit A	0.440	150	82	2	148	5	154	2.032E-15	695
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P19915-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P19915-F1-model_v4 Carbon monoxide dehydrogenase small chain	0.346	150	95	2	148	6	155	6.915E-14	614
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q4J6M5-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q4J6M5-F1-model_v4 Glyceraldehyde dehydrogenase small chain	0.357	151	95	2	149	12	162	1.880E-13	604
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q0QLF3-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q0QLF3-F1-model_v4 Nicotinate dehydrogenase small FeS subunit	0.350	151	96	2	149	6	156	9.996E-14	597
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-O33818-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-O33818-F1-model_v4 4-hydroxybenzoyl-CoA reductase subunit gamma	0.303	155	105	2	153	5	159	3.536E-13	589
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P19921-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P19921-F1-model_v4 Carbon monoxide dehydrogenase small chain	0.339	153	98	2	150	6	158	3.929E-13	578
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-O32143-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-O32143-F1-model_v4 Probable xanthine dehydrogenase subunit E	0.296	152	105	2	151	16	167	2.118E-12	558
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8X6I9-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8X6I9-F1-model_v4 Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA	0.384	164	89	2	147	63	226	1.251E-12	547
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P77165-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P77165-F1-model_v4 Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA	0.379	166	91	2	149	63	228	2.232E-12	543
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q46509-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q46509-F1-model_v4 Aldehyde oxidoreductase	0.352	159	97	1	151	1	159	5.758E-12	528
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q46801-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q46801-F1-model_v4 Putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC	0.344	150	95	2	147	9	158	1.083E-11	509
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-O87682-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-O87682-F1-model_v4 6-hydroxypseudooxynicotine dehydrogenase complex subunit beta	0.287	152	105	2	149	6	157	1.650E-11	502
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8X6C4-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8X6C4-F1-model_v4 Xanthine dehydrogenase iron-sulfur-binding subunit	0.344	150	95	2	147	9	158	1.739E-11	501
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-D7REY5-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-D7REY5-F1-model_v4 Caffeine dehydrogenase subunit gamma	0.318	159	102	2	152	6	164	1.203E-11	485
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q46814-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q46814-F1-model_v4 Probable hypoxanthine oxidase XdhD	0.237	155	115	2	153	3	157	1.321E-08	376
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8XD64-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8XD64-F1-model_v4 Probable hypoxanthine oxidase XdhD	0.237	155	115	2	153	3	157	2.911E-08	363
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5QE78-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5QE78-F1-model_v4 Aldehyde oxidase 2	0.314	156	96	2	142	11	166	4.675E-08	345
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5SGK3-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5SGK3-F1-model_v4 Aldehyde oxidase 2	0.307	156	97	2	142	11	166	7.914E-08	338
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-C4NYZ3-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-C4NYZ3-F1-model_v4 Aldehyde oxidase 2	0.299	157	98	2	142	10	166	9.268E-08	338
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P47990-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P47990-F1-model_v4 Xanthine dehydrogenase/oxidase	0.280	164	106	2	149	10	173	7.508E-08	337
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-G3X982-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-G3X982-F1-model_v4 Aldehyde oxidase 3	0.272	158	103	2	144	10	167	1.030E-07	336
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q960A1-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q960A1-F1-model_v4 Probable aldehyde oxidase gad-3	0.296	162	103	2	149	6	167	8.342E-08	335
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P80456-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P80456-F1-model_v4 Aldehyde oxidase 1	0.297	158	100	2	144	7	164	1.030E-07	335
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P80457-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P80457-F1-model_v4 Xanthine dehydrogenase/oxidase	0.301	156	98	2	142	6	161	9.769E-08	334
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-H9TB19-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-H9TB19-F1-model_v4 Aldehyde oxidase 2	0.314	156	96	2	142	10	165	1.030E-07	331
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q00519-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q00519-F1-model_v4 Xanthine dehydrogenase/oxidase	0.296	155	99	2	142	9	163	1.206E-07	329
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-H9TB18-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-H9TB18-F1-model_v4 Aldehyde oxidase 4	0.290	155	99	2	141	10	164	1.837E-07	329
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-H9TB17-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-H9TB17-F1-model_v4 Aldehyde oxidase 1	0.294	156	99	2	142	6	161	1.837E-07	325
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5QE80-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5QE80-F1-model_v4 Aldehyde oxidase 3	0.276	163	106	2	149	10	172	2.041E-07	325
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5QE79-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q5QE79-F1-model_v4 Aldehyde oxidase 4	0.282	156	101	2	142	8	163	1.937E-07	325
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8GUQ8-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q8GUQ8-F1-model_v4 Xanthine dehydrogenase 1	0.293	159	101	2	145	17	175	1.340E-07	325
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q9MYW6-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q9MYW6-F1-model_v4 Xanthine dehydrogenase/oxidase	0.301	156	98	2	142	6	161	1.837E-07	324
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q3TYQ9-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-Q3TYQ9-F1-model_v4 Aldehyde oxidase 4	0.288	156	100	2	142	10	165	2.041E-07	323
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P22985-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P22985-F1-model_v4 Xanthine dehydrogenase/oxidase	0.303	155	98	2	142	6	160	2.152E-07	322
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-R4ZGN4-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-R4ZGN4-F1-model_v4 Xanthine dehydrogenase	0.277	155	100	2	141	19	173	1.412E-07	321
DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P48034-F1-model_v4	DESULFOASV1_31000-2Fe-2S-binding_protein	AF-P48034-F1-model_v4 Aldehyde oxidase 1	0.311	154	95	2	140	7	160	1.937E-07	319
