query	target	qheader	theader	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
LOKIASV2_1260_ESMFold_hypothetical_protein	6fju-assembly1.cif.gz_A	LOKIASV2_1260_ESMFold_hypothetical_protein	6fju-assembly1.cif.gz_A Rpn11 homolog from Caldiarchaeum Subterraneum	0.209	203	131	3	205	1	167	6.743E-09	293
LOKIASV2_1260_ESMFold_hypothetical_protein	6fnn-assembly2.cif.gz_B	LOKIASV2_1260_ESMFold_hypothetical_protein	6fnn-assembly2.cif.gz_B Caldiarchaeum Subterraneum Ubiquitin:Rpn11-homolog complex	0.228	184	117	1	184	1	152	2.910E-08	291
LOKIASV2_1260_ESMFold_hypothetical_protein	5cw4-assembly1.cif.gz_A	LOKIASV2_1260_ESMFold_hypothetical_protein	5cw4-assembly1.cif.gz_A Structure of CfBRCC36-CfKIAA0157 complex (Selenium Edge)	0.175	294	202	2	295	1	246	1.489E-10	286
LOKIASV2_1260_ESMFold_hypothetical_protein	5cw6-assembly1.cif.gz_A	LOKIASV2_1260_ESMFold_hypothetical_protein	5cw6-assembly1.cif.gz_A Structure of metal dependent enzyme DrBRCC36	0.211	184	118	3	186	1	151	4.420E-08	284
LOKIASV2_1260_ESMFold_hypothetical_protein	6fno-assembly1.cif.gz_A	LOKIASV2_1260_ESMFold_hypothetical_protein	6fno-assembly1.cif.gz_A Caldiarchaeum Subterraneum Ubiquitin:Rpn11-homolog complex, zinc soak	0.241	184	112	1	184	1	149	2.231E-07	270
LOKIASV2_1260_ESMFold_hypothetical_protein	6fno-assembly2.cif.gz_B	LOKIASV2_1260_ESMFold_hypothetical_protein	6fno-assembly2.cif.gz_B Caldiarchaeum Subterraneum Ubiquitin:Rpn11-homolog complex, zinc soak	0.231	184	113	1	184	1	148	2.118E-07	266
LOKIASV2_1260_ESMFold_hypothetical_protein	6fjv-assembly1.cif.gz_A	LOKIASV2_1260_ESMFold_hypothetical_protein	6fjv-assembly1.cif.gz_A Rpn11 homolog from Caldiarchaeum Subterraneum, truncated	0.219	183	115	2	184	1	148	7.451E-08	265
LOKIASV2_1260_ESMFold_hypothetical_protein	6fju-assembly1.cif.gz_B	LOKIASV2_1260_ESMFold_hypothetical_protein	6fju-assembly1.cif.gz_B Rpn11 homolog from Caldiarchaeum Subterraneum	0.222	202	127	3	204	1	164	3.231E-08	261
LOKIASV2_1260_ESMFold_hypothetical_protein	5cw3-assembly1.cif.gz_C	LOKIASV2_1260_ESMFold_hypothetical_protein	5cw3-assembly1.cif.gz_C Structure of CfBRCC36-CfKIAA0157 complex (Zn Edge)	0.184	290	193	6	295	2	238	8.795E-10	260
LOKIASV2_1260_ESMFold_hypothetical_protein	5w83-assembly1.cif.gz_B	LOKIASV2_1260_ESMFold_hypothetical_protein	5w83-assembly1.cif.gz_B Rpn8/Rpn11 dimer complex	0.203	195	121	6	200	2	154	3.216E-07	258
